month,PfPR,Cases,Severe cases,Pop,agebin
1,0.2214411247803,1.92442882061,0.0,18.96666666667,0.25
2,0.06481481481481,0.6759259104729,0.0,18.0,0.25
3,0.0352422907489,0.0,0.0,22.7,0.25
4,0.1640513552068,2.603423595428,0.0,23.36666666667,0.25
5,0.3316993464052,3.578431248665,0.0,20.4,0.25
6,0.3168831168831,1.896103858948,0.0,12.83333333333,0.25
7,0.2057291666667,1.90104162693,0.0,12.8,0.25
8,0.3280423280423,2.896825432777,0.0,12.6,0.25
9,0.1882352941176,2.147058784962,0.0,17.0,0.25
10,0.2034188034188,1.871794939041,0.0,19.5,0.25
11,0.2577996715928,2.397372722626,0.0,20.3,0.25
12,0.2565055762082,2.035315990448,0.0,17.93333333333,0.25
13,0.2269807280514,3.126338243484,0.0,15.56666666667,0.25
14,0.2728971962617,2.04672896862,0.0,17.83333333333,0.25
15,0.1553398058252,0.0,0.0,20.6,0.25
16,0.09672131147541,0.598360657692,0.0,20.33333333333,0.25
17,0.08849557522124,1.292035341263,0.0,18.83333333333,0.25
18,0.1489361702128,3.106383085251,0.0,15.66666666667,0.25
19,0.218875502008,1.465863466263,0.0,16.6,0.25
20,0.2180327868852,2.99180328846,0.0,20.33333333333,0.25
21,0.1759133964817,1.975642800331,0.0,24.63333333333,0.25
22,0.1719901719902,0.8968058824539,0.0,27.13333333333,0.25
23,0.206106870229,2.786259591579,0.0,26.2,0.25
24,0.3106546854942,3.748395442963,0.0,25.96666666667,0.25
1,0.799718969555,2.598594799638,0.03419203683734,355.8333333333,5.0
2,0.6655477855478,1.939860217273,0.0,357.5,5.0
3,0.5481011477092,2.315946593881,0.0,357.2333333333,5.0
4,0.5459910078681,3.418883308768,0.03418883308768,355.8666666667,5.0
5,0.6501164415463,3.910107314587,0.03400093317032,357.8333333333,5.0
6,0.7532323605467,4.651828743517,0.1011267118156,360.9333333333,5.0
7,0.8235403842567,3.57442650944,0.03404215723276,357.4,5.0
8,0.8003593720446,2.726971715689,0.1035558879375,352.4666666667,5.0
9,0.7459730907713,2.939643859863,0.1037521362305,351.8,5.0
10,0.7063115996967,3.666603408754,0.03459059819579,351.7333333333,5.0
11,0.7531416603199,4.447829246521,0.03474866598845,350.1333333333,5.0
12,0.8286205578907,4.463125705719,0.03486816957593,348.9333333333,5.0
13,0.8290784853374,3.117585517466,0.03463983908296,351.2333333333,5.0
14,0.7272640791476,2.118055656552,0.0,350.4,5.0
15,0.634776802747,2.262972239405,0.0,349.4666666667,5.0
16,0.5718261203339,2.591881744564,0.0,347.3666666667,5.0
17,0.6433655064834,3.80764374882,0.0,341.9,5.0
18,0.7337347057681,4.430471919477,0.03544377535582,343.2666666667,5.0
19,0.8011496492595,3.271629050374,0.1066835559905,342.1333333333,5.0
20,0.7740190775888,2.692005224526,0.0,338.9666666667,5.0
21,0.72223903177,2.945032715797,0.03681290894747,330.5,5.0
22,0.6958194149205,3.731653098017,0.03694706037641,329.3,5.0
23,0.7667238421955,4.382504083216,0.03682776540518,330.3666666667,5.0
24,0.846855882058,4.099889814854,0.07321231812239,332.3666666667,5.0
1,0.7410190615836,1.984665131196,0.0,545.6,15.0
2,0.6487894575544,1.566043514758,0.0,543.8333333333,15.0
3,0.6279796556162,1.811691893265,0.0,543.9666666667,15.0
4,0.6377981651376,2.366360932589,0.0,545.0,15.0
5,0.7291221210825,2.809579074383,0.0,545.6333333333,15.0
6,0.8114754098361,2.858834289014,0.0,549.0,15.0
7,0.7776303889056,1.980705410242,0.0,552.8333333333,15.0
8,0.7478150804653,2.067988608032,0.0,553.0333333333,15.0
9,0.726320251938,2.232618637383,0.0,550.4,15.0
10,0.7341933913467,2.865271182731,0.0,547.7666666667,15.0
11,0.7747139030923,2.488434374332,0.0,547.6,15.0
12,0.7907848591123,2.714657189324,0.0,551.2666666667,15.0
13,0.724083611027,1.570130322129,0.0,550.1666666667,15.0
14,0.6628962013066,1.744193049148,0.0,551.0666666667,15.0
15,0.6225093587731,1.344342524186,0.0,552.0666666667,15.0
16,0.6718523002421,2.673426078632,0.0,550.6666666667,15.0
17,0.7551819715594,2.683176685125,0.0,553.2,15.0
18,0.7741099933739,2.484488958493,0.0,553.3666666667,15.0
19,0.7845987506007,2.038983643055,0.0,554.9333333333,15.0
20,0.7247954764196,2.063883479685,0.0,554.1333333333,15.0
21,0.7174184346586,1.930528350174,0.0,560.9,15.0
22,0.7168257756563,2.395584769547,0.0,558.6666666667,15.0
23,0.7986276849642,3.092482157052,0.0,558.6666666667,15.0
24,0.812351543943,2.622624736279,0.0,561.3333333333,15.0
1,0.3877791874428,0.1292302273214,0.0,1129.766666667,115.0
2,0.3187088041431,0.1825859183446,0.0,1132.8,115.0
3,0.3172889754026,0.1076505612582,0.0,1130.2,115.0
4,0.3514263776505,0.1293485350907,0.0,1128.733333333,115.0
5,0.4038461538462,0.140168974176,0.0,1128.4,115.0
6,0.4139950313498,0.2051046993583,0.0,1127.066666667,115.0
7,0.423064348343,0.1193342255428,0.0,1121.5,115.0
8,0.3980977857037,0.2278198851272,0.0,1121.5,115.0
9,0.3909280190363,0.09770969767123,0.0,1120.666666667,115.0
10,0.4090543559196,0.1304542087018,0.0,1119.166666667,115.0
11,0.4132492113565,0.1303493790329,0.0,1120.066666667,115.0
12,0.4329095834946,0.2173330634832,0.0,1119.633333333,115.0
13,0.3977150698007,0.1959790047258,0.0,1117.466666667,115.0
14,0.3580776913216,0.1305786632001,0.0,1118.1,115.0
15,0.3351817070626,0.1414602184668,0.0,1118.1,115.0
16,0.3614017358221,0.1735822111368,0.0,1121.466666667,115.0
17,0.3973982872552,0.2054997431114,0.0,1124.9,115.0
18,0.4070152608541,0.2051046993583,0.0,1127.066666667,115.0
19,0.4146225715557,0.1732166707516,0.0,1123.833333333,115.0
20,0.3791542126602,0.1728270798922,0.0,1126.366666667,115.0
21,0.3939223908806,0.1616856688634,0.0,1128.733333333,115.0
22,0.3687422607465,0.1291349753737,0.0,1130.6,115.0
23,0.4590721040189,0.1725768297911,0.0,1128.0,115.0
24,0.4077123563559,0.1729652881622,0.0,1125.466666667,115.0
