month,PfPR,Cases,Severe cases,Pop,agebin,Run_Number
1,0.4218942189422,2.244772464037,0.4489544928074,27.1,0.25,4
2,0.3075170842825,3.325740337372,0.0,29.26666666667,0.25,4
3,0.4425770308123,3.067226886749,0.5112044811249,23.8,0.25,4
4,0.5111464968153,4.649681568146,0.0,20.93333333333,0.25,4
5,0.4654471544715,6.676829338074,0.0,16.4,0.25,4
6,0.5516693163752,5.222575306892,0.5802861452103,20.96666666667,0.25,4
7,0.5657686212361,3.470681548119,0.5784469246864,21.03333333333,0.25,4
8,0.4339314845024,2.381729125977,0.0,20.43333333333,0.25,4
9,0.4371681415929,4.52212369442,0.0,18.83333333333,0.25,4
10,0.4966777408638,4.850498199463,1.212624549866,20.06666666667,0.25,4
11,0.5059523809524,2.715773880482,0.5431547760963,22.4,0.25,4
12,0.4650205761317,5.006858706474,0.0,24.3,0.25,4
13,0.5099150141643,2.584985792637,0.5169971585274,23.53333333333,0.25,4
14,0.2492537313433,0.5447761416435,0.0,22.33333333333,0.25,4
15,0.2026825633383,3.263785243034,0.0,22.36666666667,0.25,4
16,0.2738255033557,2.449664473534,0.0,24.83333333333,0.25,4
17,0.3787128712871,4.517326653004,0.4517326653004,26.93333333333,0.25,4
18,0.4194977843427,2.156573057175,0.5391432642937,22.56666666667,0.25,4
19,0.3250366032211,4.275256156921,0.5344070196152,22.76666666667,0.25,4
20,0.4332247557003,4.161237597466,0.5944625139236,20.46666666667,0.25,4
21,0.4030054644809,2.49316945672,0.4986338913441,24.4,0.25,4
22,0.5886178861789,5.341463148594,0.0,20.5,0.25,4
23,0.7153558052434,4.101123690605,0.6835206151009,17.8,0.25,4
24,0.4766949152542,3.093220233917,0.0,15.73333333333,0.25,4
1,0.7867119667799,3.031332671642,0.06889392435551,353.2,5.0,4
2,0.702750748503,2.629584472626,0.06830089539289,356.2666666667,5.0,4
3,0.7398817224173,4.485769964755,0.0,360.7333333333,5.0,4
4,0.8135702448904,4.603664267808,0.2016203328967,362.0666666667,5.0,4
5,0.8700245924037,3.457509934902,0.09973586350679,365.9666666667,5.0,4
6,0.8519673484362,3.749426603317,0.1004310697317,363.4333333333,5.0,4
7,0.8372006682755,3.150640357286,0.1016335599124,359.1333333333,5.0,4
8,0.7991083867373,3.796786665916,0.1355995237827,358.9,5.0,4
9,0.7970841738493,4.451219305396,0.06693562865257,363.5333333333,5.0,4
10,0.8326985601486,4.47561532259,0.1356247067451,358.8333333333,5.0,4
11,0.875340024388,3.800300091505,0.1027108132839,355.3666666667,5.0,4
12,0.8567107750473,3.17391321063,0.1034971699119,352.6666666667,5.0,4
13,0.7936418359669,2.506113603711,0.03433032333851,354.4,5.0,4
14,0.7073603586774,2.386512346566,0.0,356.8666666667,5.0,4
15,0.7103916643409,4.51623404026,0.0,358.3,5.0,4
16,0.8119705854975,4.858512569219,0.06795122474432,358.1,5.0,4
17,0.8878270551123,3.826776690781,0.1015958413482,359.2666666667,5.0,4
18,0.8769132653061,3.026148017496,0.09976312145591,365.8666666667,5.0,4
19,0.8480807352676,3.584880001843,0.06577761471272,369.9333333333,5.0,4
20,0.7937461355004,4.030121024698,0.09672290459275,377.3666666667,5.0,4
21,0.8230182656499,3.754211857915,0.06472779065371,375.9333333333,5.0,4
22,0.8567790656832,4.743590012193,0.06410256773233,379.6,5.0,4
23,0.8907636874945,4.586958196014,0.1283065229654,379.3,5.0,4
24,0.8717481789802,3.070152558386,0.1266042292118,384.4,5.0,4
1,0.8268946454972,3.073536070064,0.0,518.5666666667,15.0,4
2,0.7928353954784,3.192006172612,0.0,514.5666666667,15.0,4
3,0.7871084884249,3.313663229346,0.0,514.0333333333,15.0,4
4,0.8256625727214,4.364899890497,0.0,515.6666666667,15.0,4
5,0.8645103208797,3.990097176284,0.0,518.3666666667,15.0,4
6,0.8641612964972,3.376826494932,0.0,522.4333333333,15.0,4
7,0.8351697061803,3.004686031491,0.0,526.4,15.0,4
8,0.811864941622,3.132849559188,0.0,528.1666666667,15.0,4
9,0.803712355578,4.17103368789,0.0,527.9666666667,15.0,4
10,0.8211550533584,3.620213326067,0.02291274257004,531.0,15.0,4
11,0.8450071727063,3.892908224836,0.0,534.4333333333,15.0,4
12,0.8337067463281,3.021222392097,0.0,535.6,15.0,4
13,0.8078583494963,2.923105716705,0.0,532.7666666667,15.0,4
14,0.7657674534782,3.145372901112,0.0,533.8,15.0,4
15,0.742009700286,3.063984587789,0.0,536.0666666667,15.0,4
16,0.7891375782752,4.00551799871,0.02263004519045,537.6333333333,15.0,4
17,0.8325062034739,3.373759247363,0.0,537.3333333333,15.0,4
18,0.8436211420717,3.306572632864,0.0,533.5333333333,15.0,4
19,0.8292941249766,3.342782316729,0.0,535.0333333333,15.0,4
20,0.8181533057333,3.022205516696,0.0,531.4,15.0,4
21,0.8060719874804,3.22159620747,0.0,532.5,15.0,4
22,0.8170234134706,3.29922786355,0.0,531.0333333333,15.0,4
23,0.8308457711443,3.677813410759,0.0,529.3,15.0,4
24,0.8302653294401,3.382632892579,0.0,525.1333333333,15.0,4
1,0.8386661468798,2.933397211134,0.01094551198184,1111.566666667,115.0,4
2,0.819255847341,3.056768476963,0.0,1114.466666667,115.0,4
3,0.8175121529331,3.646625457332,0.0,1117.7,115.0,4
4,0.841755952381,3.55223223567,0.01086309552193,1120.0,115.0,4
5,0.8554396423249,3.546646812931,0.01087928470224,1118.333333333,115.0,4
6,0.8482661555968,3.14787080884,0.0,1113.133333333,115.0,4
7,0.8493684936849,3.569735834375,0.0109501099214,1111.1,115.0,4
8,0.841759231462,3.068147711456,0.0,1110.333333333,115.0,4
9,0.8214961978901,3.170478892513,0.0,1109.033333333,115.0,4
10,0.8305883058831,3.558785724454,0.0,1111.1,115.0,4
11,0.8474275754297,3.367442094721,0.0,1109.2,115.0,4
12,0.8536497554829,3.285229951143,0.01095076650381,1111.033333333,115.0,4
13,0.8426983128053,2.865833576769,0.0,1112.3,115.0,4
14,0.8032339353213,2.66079682298,0.0,1111.133333333,115.0,4
15,0.7847626477825,3.548580631614,0.0,1110.866666667,115.0,4
16,0.8245350929814,3.360977819189,0.0,1111.333333333,115.0,4
17,0.8523719506706,3.581330356188,0.0,1110.9,115.0,4
18,0.8476038722867,3.204257130623,0.0,1108.733333333,115.0,4
19,0.8516959345682,2.996301485226,0.0,1108.533333333,115.0,4
20,0.8130003009329,2.789948727936,0.0,1107.666666667,115.0,4
21,0.8191495778046,3.214113276452,0.0,1105.333333333,115.0,4
22,0.8282047410539,3.516080275178,0.0,1103.833333333,115.0,4
23,0.8532354096775,3.552150517702,0.0,1102.9,115.0,4
24,0.8594421250076,2.893144493923,0.0,1101.8,115.0,4
1,0.6009070294785,1.65532875061,0.8276643753052,14.7,0.25,2
2,0.3390476190476,2.780952453613,0.0,17.5,0.25,2
3,0.3029197080292,2.66423368454,0.0,18.26666666667,0.25,2
4,0.3149741824441,4.397590219975,0.6282271742821,19.36666666667,0.25,2
5,0.3938848920863,3.2823741436,0.6564748287201,18.53333333333,0.25,2
6,0.4759124087591,4.795620203018,0.0,22.83333333333,0.25,2
7,0.4393757503001,3.505402088165,0.0,27.76666666667,0.25,2
8,0.4841530054645,4.786885142326,0.0,30.5,0.25,2
9,0.4656796769852,3.930013418198,0.9825033545494,24.76666666667,0.25,2
10,0.546925566343,3.543689489365,0.5906149148941,20.6,0.25,2
11,0.4193548387097,2.354838788509,0.0,15.5,0.25,2
12,0.3940972222222,4.435764074326,0.0,19.2,0.25,2
13,0.4595588235294,3.354779481888,0.6709558963776,18.13333333333,0.25,2
14,0.3365539452496,1.76328510046,0.0,20.7,0.25,2
15,0.2151260504202,2.453781604767,0.0,19.83333333333,0.25,2
16,0.4733637747336,6.666666984558,0.0,21.9,0.25,2
17,0.5217965653897,3.857331514359,0.9643328785896,25.23333333333,0.25,2
18,0.6811224489796,7.914540588856,0.0,26.13333333333,0.25,2
19,0.6086419753086,2.253086417913,0.4506172835827,27.0,0.25,2
20,0.472602739726,3.5,0.5,24.33333333333,0.25,2
21,0.4597014925373,3.813432991505,0.0,22.33333333333,0.25,2
22,0.6768916155419,7.46421277523,1.492842555046,16.3,0.25,2
23,0.4925373134328,2.334754765034,0.0,15.63333333333,0.25,2
24,0.3993344425957,4.251248002052,0.6073211431503,20.03333333333,0.25,2
1,0.854540082726,3.450856804848,0.0359464250505,338.4666666667,5.0,2
2,0.7835570469799,3.350276391953,0.03602447733283,337.7333333333,5.0,2
3,0.766408883601,4.089331861585,0.07237755507231,336.2,5.0,2
4,0.8292538491907,4.431010711938,0.07204895466566,337.7333333333,5.0,2
5,0.8864322586929,3.946138300002,0.142203181982,342.2333333333,5.0,2
6,0.8938937967188,3.224444184452,0.1417338103056,343.3666666667,5.0,2
7,0.8526265060241,3.482891421765,0.1055421642959,345.8333333333,5.0,2
8,0.8532364470791,4.292475286871,0.03489817306399,348.6333333333,5.0,2
9,0.8263540977408,3.553738575429,0.1380092650652,352.6333333333,5.0,2
10,0.8563839878581,4.120185855776,0.1038702316582,351.4,5.0,2
11,0.8452392276229,3.819081149995,0.1388756781816,350.4333333333,5.0,2
12,0.8715805471125,3.674961850047,0.06933890283108,350.9333333333,5.0,2
13,0.8513372037689,3.091748353094,0.06947749108076,350.2333333333,5.0,2
14,0.7630151327686,3.126487098634,0.0,350.2333333333,5.0,2
15,0.750353406842,4.058995291591,0.06879653036594,353.7,5.0,2
16,0.8258458646617,5.179981131107,0.03430451080203,354.6666666667,5.0,2
17,0.8951965065502,4.442534375936,0.1017374284565,358.7666666667,5.0,2
18,0.9050644567219,3.26012892276,0.0336095765233,362.0,5.0,2
19,0.8738989337042,3.384330123663,0.06768660247326,359.5,5.0,2
20,0.858024691358,4.233071535826,0.0,356.4,5.0,2
21,0.8466046511628,3.734883666039,0.03395348787308,358.3333333333,5.0,2
22,0.8798041389505,4.687269221991,0.06744272261858,360.8,5.0,2
23,0.8884052602334,3.988701812923,0.1352102309465,359.9333333333,5.0,2
24,0.8708275543227,3.509940087795,0.06749884784222,360.5,5.0,2
1,0.8353753235548,3.380212754011,0.0,579.5,15.0,2
2,0.8081308303582,3.299838624895,0.0,578.8666666667,15.0,2
3,0.8191783983383,3.432667843997,0.0,577.7333333333,15.0,2
4,0.8290647815506,4.039575720206,0.02114961110055,575.2666666667,15.0,2
5,0.8523349248865,3.783044114709,0.0,572.4666666667,15.0,2
6,0.8599801390268,3.283486288041,0.02132133953273,570.6333333333,15.0,2
7,0.8576898156329,3.611945673823,0.0,565.9,15.0,2
8,0.8339620417305,3.334610294551,0.0,565.5333333333,15.0,2
9,0.8205370874246,3.389625031501,0.0,563.5333333333,15.0,2
10,0.8311391960681,3.694634661078,0.0,569.7,15.0,2
11,0.8579495837457,4.143622191623,0.0,572.5666666667,15.0,2
12,0.8609252254873,3.313354812562,0.0,572.8333333333,15.0,2
13,0.8336240986276,2.907943632454,0.0,573.2,15.0,2
14,0.7936369452684,2.950910331681,0.0,573.1,15.0,2
15,0.7866705471478,3.760477250442,0.0,572.6666666667,15.0,2
16,0.8210656899811,4.139886617661,0.0,564.2666666667,15.0,2
17,0.854767842299,3.055753469467,0.0,561.4,15.0,2
18,0.84721973362,3.509824926034,0.0,558.1,15.0,2
19,0.8380901731372,3.580334432423,0.0,564.1,15.0,2
20,0.8233095877613,3.26083150506,0.0,570.8666666667,15.0,2
21,0.8411236740879,2.978202551603,0.0,571.9333333333,15.0,2
22,0.8246064139942,3.149854332209,0.0,571.6666666667,15.0,2
23,0.8381674934345,3.450831614435,0.0,571.1666666667,15.0,2
24,0.8468663891657,3.509409531951,0.0,568.5666666667,15.0,2
1,0.8260936584764,3.071954905987,0.0,1081.233333333,115.0,2
2,0.8247454489355,3.457420441322,0.0,1080.333333333,115.0,2
3,0.827192221947,3.390512801707,0.01130170933902,1076.533333333,115.0,2
4,0.838433216794,3.715386147611,0.0,1077.366666667,115.0,2
5,0.8561311272615,3.329982883297,0.0,1077.833333333,115.0,2
6,0.8536141044246,3.414796072058,0.0112699540332,1079.566666667,115.0,2
7,0.8563925106593,3.462120614946,0.0,1078.866666667,115.0,2
8,0.835134884009,3.052312200889,0.0,1076.233333333,115.0,2
9,0.8340549233053,3.262153754942,0.0,1077.866666667,115.0,2
10,0.8434812202215,3.636222921312,0.0,1077.4,115.0,2
11,0.8566800370256,3.682659558021,0.0,1080.333333333,115.0,2
12,0.8429466407431,3.165293416008,0.0,1080.1,115.0,2
13,0.8355754396791,3.187133501284,0.0,1080.333333333,115.0,2
14,0.8128649550468,3.123706156388,0.0,1078.9,115.0,2
15,0.8120577238033,3.20323837176,0.0,1078.7,115.0,2
16,0.8324044708563,3.720017333515,0.0,1082.566666667,115.0,2
17,0.8526737555864,3.127446530387,0.0,1081.5,115.0,2
18,0.852125521719,3.2838150803,0.0,1078.166666667,115.0,2
19,0.8423919810733,2.9769019261,0.0,1070.8,115.0,2
20,0.8302818221583,3.19315135479,0.0,1066.866666667,115.0,2
21,0.8176647080885,3.262595379725,0.01140767615288,1066.533333333,115.0,2
22,0.8457406944791,3.362321997993,0.0,1067.466666667,115.0,2
23,0.8474169626722,3.264005623758,0.0,1069.8,115.0,2
24,0.8468675334347,2.740869484842,0.0,1074.233333333,115.0,2
1,0.4300341296928,4.360068082809,0.0,19.53333333333,0.25,1
2,0.4183098591549,3.59859162569,0.0,23.66666666667,0.25,1
3,0.3667117726658,2.469553500414,0.4939107000828,24.63333333333,0.25,1
4,0.4515706806283,5.255235612392,0.4777486920357,25.46666666667,0.25,1
5,0.4977973568282,4.287812232971,0.5359765291214,22.7,0.25,1
6,0.5048231511254,4.694533824921,0.5868167281151,20.73333333333,0.25,1
7,0.714859437751,4.397590398788,0.0,16.6,0.25,1
8,0.5430107526882,2.616487503052,0.0,18.6,0.25,1
9,0.3290734824281,2.332268476486,0.0,20.86666666667,0.25,1
10,0.5690690690691,6.028528213501,0.5480480194092,22.2,0.25,1
11,0.605,5.475000143051,1.216666698456,20.0,0.25,1
12,0.4264150943396,2.754716873169,0.0,17.66666666667,0.25,1
13,0.3128205128205,1.247863292694,0.0,19.5,0.25,1
14,0.2800632911392,2.887658178806,0.5775316357613,21.06666666667,0.25,1
15,0.3058103975535,2.790519893169,0.5581039786339,21.8,0.25,1
16,0.4306666666667,4.380000114441,0.0,25.0,0.25,1
17,0.4972899728997,4.451219469309,0.0,24.6,0.25,1
18,0.5628342245989,4.879679083824,1.463903725147,24.93333333333,0.25,1
19,0.5100334448161,3.662207365036,0.6103678941727,19.93333333333,0.25,1
20,0.528813559322,4.949152469635,1.237288117409,19.66666666667,0.25,1
21,0.4258373205742,3.492822885513,0.0,13.93333333333,0.25,1
22,0.4824561403509,2.134502887726,0.0,11.4,0.25,1
23,0.4867021276596,8.736702024937,0.0,12.53333333333,0.25,1
24,0.7412935323383,2.723880529404,0.0,13.4,0.25,1
1,0.8244696032728,3.472552448511,0.03472552448511,350.3666666667,5.0,1
2,0.7384353419733,3.176615267992,0.0,352.3666666667,5.0,1
3,0.7644258236526,3.99685787037,0.0,350.0666666667,5.0,1
4,0.8285468943803,4.805839329958,0.1392996907234,349.3666666667,5.0,1
5,0.8646516490828,3.781484507024,0.1734625920653,350.7,5.0,1
6,0.873156899811,3.829395286739,0.06899811327457,352.6666666667,5.0,1
7,0.8699370359929,3.910346880555,0.1029038652778,354.7,5.0,1
8,0.8484107579462,3.672653812915,0.03432386741042,354.4666666667,5.0,1
9,0.8291835008926,3.806727234274,0.1371793597937,354.7666666667,5.0,1
10,0.8563038742067,4.356351010501,0.06914842873812,351.9,5.0,1
11,0.8720280382684,3.734015151858,0.03457421436906,351.9,5.0,1
12,0.8587448171881,3.817847684026,0.06879004836082,353.7333333333,5.0,1
13,0.8365439633797,2.95870680362,0.0348083153367,349.5333333333,5.0,1
14,0.7586076428301,2.69296246022,0.03452515974641,352.4,5.0,1
15,0.7489165253439,4.367344856262,0.03438854217529,353.8,5.0,1
16,0.8275018811136,4.84057559073,0.1029909700155,354.4,5.0,1
17,0.8871980216854,3.888149321079,0.03471561893821,350.4666666667,5.0,1
18,0.8863916548127,3.080606918782,0.0,351.5,5.0,1
19,0.856289102624,4.601270053536,0.03408348187804,356.9666666667,5.0,1
20,0.8605124410323,3.409952644259,0.1012857221067,360.3666666667,5.0,1
